,accuracy,precision,recall,f1,roc_auc
logistic,0.9854114045835969,0.9202419715252506,0.9730144800351032,0.9458927370268896,0.9953773737957385
random_forest,0.8806703322466348,0.5298745505573652,0.7933810375670841,0.6353911133637439,0.9228226269274664
xgboost,0.9935638549633515,0.9867479871453747,0.9638336652377899,0.9751562339924188,0.9978922198860649
