,accuracy,precision,recall,f1,roc_auc
logistic,0.98135,0.44660194174757284,0.8990228013029316,0.5967567567567568,0.9818972402638186
random_forest,0.9374333333333333,0.177261335156072,0.8447339847991314,0.29303201506591336,0.9603440498955383
xgboost,0.9959666666666667,0.9581646423751687,0.7709011943539631,0.8543922984356197,0.9938379863808483
